srcX: 495	srcY: 288	dstX: 217	dstY: 289	idx: 0.940677
srcX: 503	srcY: 285	dstX: 225	dstY: 286	idx: 0.89998
srcX: 506	srcY: 285	dstX: 228	dstY: 286	idx: 0.885944
srcX: 608	srcY: 288	dstX: 328	dstY: 289	idx: 0.965749
srcX: 610	srcY: 288	dstX: 330	dstY: 289	idx: 0.95122
srcX: 305	srcY: 290	dstX: 25	dstY: 292	idx: 0.855025
srcX: 447	srcY: 292	dstX: 169	dstY: 293	idx: 0.856195
srcX: 485	srcY: 293	dstX: 207	dstY: 294	idx: 0.968082
srcX: 491	srcY: 290	dstX: 213	dstY: 291	idx: 0.955197
srcX: 597	srcY: 293	dstX: 317	dstY: 294	idx: 0.967005
srcX: 603	srcY: 290	dstX: 323	dstY: 291	idx: 0.975076
srcX: 348	srcY: 297	dstX: 69	dstY: 299	idx: 0.906553
srcX: 447	srcY: 296	dstX: 169	dstY: 297	idx: 0.851675
srcX: 481	srcY: 298	dstX: 203	dstY: 299	idx: 0.966981
srcX: 605	srcY: 296	dstX: 325	dstY: 297	idx: 0.956282
srcX: 352	srcY: 300	dstX: 73	dstY: 302	idx: 0.932825
srcX: 476	srcY: 301	dstX: 198	dstY: 302	idx: 0.962577
srcX: 483	srcY: 302	dstX: 205	dstY: 303	idx: 0.967458
srcX: 593	srcY: 302	dstX: 313	dstY: 303	idx: 0.942469
srcX: 595	srcY: 302	dstX: 315	dstY: 303	idx: 0.94965
srcX: 626	srcY: 300	dstX: 345	dstY: 301	idx: 0.91356
srcX: 427	srcY: 306	dstX: 149	dstY: 307	idx: 0.873691
srcX: 477	srcY: 305	dstX: 199	dstY: 306	idx: 0.96437
srcX: 480	srcY: 307	dstX: 202	dstY: 308	idx: 0.961573
srcX: 493	srcY: 308	dstX: 215	dstY: 309	idx: 0.952487
srcX: 495	srcY: 307	dstX: 217	dstY: 308	idx: 0.950631
srcX: 586	srcY: 306	dstX: 306	dstY: 307	idx: 0.913921
srcX: 623	srcY: 308	dstX: 342	dstY: 309	idx: 0.878059
srcX: 443	srcY: 311	dstX: 165	dstY: 312	idx: 0.867485
srcX: 476	srcY: 313	dstX: 198	dstY: 314	idx: 0.959971
srcX: 492	srcY: 310	dstX: 214	dstY: 311	idx: 0.949201
srcX: 562	srcY: 313	dstX: 283	dstY: 314	idx: 0.894634
srcX: 565	srcY: 313	dstX: 286	dstY: 314	idx: 0.874848
srcX: 587	srcY: 311	dstX: 307	dstY: 312	idx: 0.891164
srcX: 623	srcY: 310	dstX: 342	dstY: 311	idx: 0.877809
srcX: 476	srcY: 315	dstX: 198	dstY: 316	idx: 0.959863
srcX: 555	srcY: 317	dstX: 276	dstY: 318	idx: 0.91308
srcX: 562	srcY: 315	dstX: 283	dstY: 316	idx: 0.889295
srcX: 565	srcY: 317	dstX: 286	dstY: 318	idx: 0.861231
srcX: 503	srcY: 320	dstX: 225	dstY: 321	idx: 0.903815
srcX: 543	srcY: 322	dstX: 264	dstY: 323	idx: 0.929309
srcX: 553	srcY: 322	dstX: 274	dstY: 323	idx: 0.905565
srcX: 558	srcY: 320	dstX: 279	dstY: 321	idx: 0.907836
srcX: 562	srcY: 320	dstX: 283	dstY: 321	idx: 0.887913
srcX: 566	srcY: 321	dstX: 287	dstY: 322	idx: 0.855511
srcX: 493	srcY: 327	dstX: 215	dstY: 328	idx: 0.922733
srcX: 495	srcY: 327	dstX: 217	dstY: 328	idx: 0.918472
srcX: 558	srcY: 325	dstX: 279	dstY: 326	idx: 0.890946
srcX: 560	srcY: 325	dstX: 281	dstY: 326	idx: 0.883635
srcX: 115	srcY: 330	dstX: 63	dstY: 126	idx: 0.884846
srcX: 486	srcY: 333	dstX: 208	dstY: 334	idx: 0.926687
srcX: 496	srcY: 331	dstX: 218	dstY: 332	idx: 0.917591
srcX: 548	srcY: 332	dstX: 269	dstY: 333	idx: 0.898141
srcX: 560	srcY: 333	dstX: 281	dstY: 334	idx: 0.85897
srcX: 622	srcY: 332	dstX: 341	dstY: 332	idx: 0.94581
srcX: 625	srcY: 333	dstX: 344	dstY: 333	idx: 0.956713
srcX: 55	srcY: 335	dstX: 25	dstY: 131	idx: 0.850316
srcX: 368	srcY: 336	dstX: 89	dstY: 338	idx: 0.967738
srcX: 483	srcY: 338	dstX: 205	dstY: 339	idx: 0.940855
srcX: 485	srcY: 335	dstX: 207	dstY: 336	idx: 0.929611
srcX: 513	srcY: 335	dstX: 234	dstY: 336	idx: 0.851288
srcX: 515	srcY: 335	dstX: 236	dstY: 336	idx: 0.85876
srcX: 542	srcY: 335	dstX: 263	dstY: 336	idx: 0.890349
srcX: 576	srcY: 335	dstX: 297	dstY: 335	idx: 0.854809
